uclust v1.2.exportedq
(C) Copyright 2009-10 Robert C. Edgar
Licensed ONLY for use in PyNAST and QIIME.
00:01  20Mb    0.0% 
00:02  25Mb    1.0% 441 clusters at 90.0%, size 39.8, id 96.5%
00:03  27Mb    2.0% 740 clusters at 90.0%, size 48.0, id 96.5%
00:04  27Mb    3.0% 854 clusters at 90.0%, size 59.7, id 96.6%
00:05  28Mb    3.9% 944 clusters at 90.0%, size 66.3, id 96.4%
00:06  28Mb    4.8% 1017 clusters at 90.0%, size 72.8, id 96.0%
00:07  28Mb    5.6% 1080 clusters at 90.0%, size 78.3, id 95.7%
00:08  29Mb    6.5% 1142 clusters at 90.0%, size 84.4, id 95.5%
00:09  29Mb    7.3% 1171 clusters at 90.0%, size 91.3, id 95.3%
00:10  29Mb    8.2% 1231 clusters at 90.0%, size 96.3, id 95.2%
00:11  30Mb    9.0% 1370 clusters at 90.0%, size 93.6, id 95.1%
00:12  30Mb    9.6% 1514 clusters at 90.0%, size 90.0, id 95.1%
00:13  31Mb   10.3% 1617 clusters at 90.0%, size 89.8, id 95.1%
00:14  31Mb   11.0% 1723 clusters at 90.0%, size 89.4, id 95.1%
00:15  32Mb   11.8% 1818 clusters at 90.0%, size 90.5, id 95.1%
00:16  32Mb   12.5% 1934 clusters at 90.0%, size 89.6, id 95.0%
00:17  33Mb   13.2% 2044 clusters at 90.0%, size 89.3, id 95.1%
00:18  33Mb   13.8% 2122 clusters at 90.0%, size 90.0, id 95.0%
00:19  34Mb   14.6% 2210 clusters at 90.0%, size 90.7, id 95.0%
00:20  34Mb   15.3% 2269 clusters at 90.0%, size 92.5, id 95.0%
00:21  34Mb   16.0% 2344 clusters at 90.0%, size 93.3, id 95.0%
00:22  34Mb   16.5% 2437 clusters at 90.0%, size 92.8, id 95.0%
00:23  35Mb   17.1% 2503 clusters at 90.0%, size 93.5, id 95.0%
00:24  35Mb   17.8% 2567 clusters at 90.0%, size 94.5, id 95.0%
00:25  35Mb   18.4% 2664 clusters at 90.0%, size 94.2, id 94.9%
00:26  36Mb   19.0% 2717 clusters at 90.0%, size 95.5, id 94.9%
00:27  36Mb   19.8% 2743 clusters at 90.0%, size 98.3, id 94.9%
00:28  36Mb   20.5% 2779 clusters at 90.0%, size 100.3, id 94.9%
00:29  36Mb   21.1% 2821 clusters at 90.0%, size 101.6, id 94.9%
00:30  36Mb   22.0% 2831 clusters at 90.0%, size 104.9, id 94.9%
00:31  36Mb   22.7% 2854 clusters at 90.0%, size 107.6, id 94.9%
00:32  36Mb   23.5% 2873 clusters at 90.0%, size 110.2, id 94.9%
